"","SA","cancer","type"
"9bdfb73a-076e-418b-b84e-381341688002",0.0399211500191807,"BLCA","tumor"
"3f9403bf-0b47-40e4-8709-9db0d218e607",0.0523371292848104,"BLCA","tumor"
"d29f0d63-c538-4fac-be6e-176227d9a10b",0.0129147453182855,"BLCA","tumor"
"f3230d6d-ceb1-4a20-bfb5-e0d31e0ab417",0.0692643424353497,"BLCA","tumor"
"78ca76f2-6668-444a-826f-da9316dad81d",0.410446419522673,"BLCA","tumor"
"5d52cc4f-7bca-491e-ae85-0719b30d121e",0.138341033188094,"BLCA","tumor"
"80f493dc-d202-4fb0-803b-3a4fa2c85824",0.0228357303203792,"BLCA","tumor"
"13034342-456c-4a89-a936-a6f2dcc76f2b",0.0611096129360125,"BLCA","tumor"
"ebe6a1a2-8084-4b84-be78-43e3cd5eea32",0.266834167710251,"BLCA","tumor"
"1b239b10-362e-4fba-9b28-3d81f0cca53b",0.371271420456183,"BLCA","tumor"
"9efd245f-5ec0-442f-b811-4e3332b10748",0.117550979863728,"BLCA","tumor"
"11faac26-d8da-41b3-92a2-04e99c023e4c",0.0318030206985002,"BLCA","tumor"
"cecb1e03-6390-4532-8573-bb6453a99d55",0.08345690651168,"BLCA","tumor"
"3d4f4de9-29fe-4132-955e-adacdd7e7060",0.0633102866512385,"BLCA","tumor"
"7644ce79-63da-41fd-8c82-6125f24c0a6b",0.336245729576847,"BLCA","tumor"
"eedcfe8a-83e5-46aa-b68b-3fb583ad7773",0.018942635057865,"BLCA","tumor"
"2af66787-e6a9-4db0-91b8-d438a0778178",0.0903593140488782,"BLCA","tumor"
"d24d3ff9-d2bf-49bd-ba20-9466d346497e",0.0771696315718711,"BLCA","tumor"
"b743d4f2-da2c-4f41-8d7e-c9ee70c2f37f",0.102243113918724,"BLCA","tumor"
"acceab31-761e-44a5-af94-ad893bdb2987",0.0298155326299028,"BLCA","tumor"
"3eeb805b-3dc3-47ad-9d83-672d39333b8f",0.0197347786504295,"BLCA","tumor"
"dc33c2b1-27d4-4997-aafd-633162f52895",0.0153163637366424,"BLCA","tumor"
"24ec55e6-bcfe-429c-b411-f40d50e723a5",0.0878077284569035,"BLCA","tumor"
"8d0c0e3e-b223-4974-b7d0-22e6412137aa",0.303744736845095,"BLCA","tumor"
"d1d1649a-7437-4f25-b86e-786a25b0ecbe",0.0422284190924945,"BLCA","tumor"
"515171d4-cc02-48c3-b660-e9f7f12fc5c2",0.0862786693890577,"BLCA","tumor"
"248c0f63-a5ef-4f6f-9536-07febe171bc9",0.366343267823635,"BLCA","tumor"
"e1b87c08-100b-4347-b495-7698e9f8cdca",0.0779190348455897,"BLCA","tumor"
"7f0c7e56-e174-4306-888b-c93fef78e1f5",0.36880552768593,"BLCA","tumor"
"cb2f52e7-c2b7-409a-b674-08c9f9376202",0.32210181333403,"BLCA","tumor"
"211aa554-5cf0-4b0b-a428-25b0ab791303",0.0644391342854986,"BLCA","tumor"
"1d39b873-4e7c-491f-a42c-40053aa7ef06",0.119100186175425,"BLCA","tumor"
"76724bd8-b037-4bb7-90bc-bc40f02c1507",0.0322783383494988,"BLCA","tumor"
"fef62ff9-f25e-49a7-b1e4-84099d13a309",0.113121527367774,"BLCA","tumor"
"01b0afa5-4ea9-4c2b-a375-7e1e4d9b3c09",0.337105504992438,"BLCA","tumor"
"a6177818-114b-437b-9928-a6747a788109",0.0344033773330473,"BLCA","tumor"
"157390d2-ee7a-4eed-a445-2764163ef70a",0.0159728154049787,"BLCA","tumor"
"65d6ea6c-7827-40aa-82ad-c83ec5d0fc0c",0.403457168294311,"BLCA","tumor"
"086d8f38-76b9-450d-a070-9da9d9779d0e",0.106706903130882,"BLCA","tumor"
"95f20abb-7b0f-42ac-82e2-3a64a4735e0e",0.0870677557756748,"BLCA","tumor"
"23c3adb8-41a1-4cb1-96c3-d9185324b114",0.315040643622299,"BLCA","tumor"
"fcce37c4-a2be-4050-8ee2-dc341093c014",0.0180100904705669,"BLCA","tumor"
"a1d5f8b2-0876-4f8c-8a22-d8fd14fdd91a",0.249494943459733,"BLCA","tumor"
"eeee43e2-5203-46d7-b554-f4cbc2e1881c",0.0813026864656896,"BLCA","tumor"
"ceb1e524-ea75-4111-aa7c-1d8b9ffc021d",0.114381412702227,"BLCA","tumor"
"71d47c16-f09f-4932-8bab-983bda1c9b1f",0.330137208548752,"BLCA","tumor"
"0e17fc74-47ce-459d-b6b1-27c7becfea1f",0.0514777978164479,"BLCA","tumor"
"9747fd2f-d078-45ca-9d16-58d52a287323",0.0296092033249344,"BLCA","tumor"
"242f1dfd-c95f-4a3b-ae88-6f7f06cc4d29",0.120459532323844,"BLCA","tumor"
"e773014c-98de-4394-95f9-845e29f35a2b",0.0141379405221492,"BLCA","tumor"
"2050948c-479b-44b8-bf3a-2606a8bc822d",0.0398855266772966,"BLCA","tumor"
"c8041089-e148-4b33-bbb7-9298b81a8832",0.381489375479924,"BLCA","tumor"
"ed8a6ee1-399e-444c-bea5-1b32aaf46334",0.0930136456300247,"BLCA","tumor"
"f42edea7-271c-4a65-8113-62fa64424535",0.0883878033621562,"BLCA","tumor"
"a3e44fb4-8385-4e39-88eb-f8e0d74e8938",0.0233384600340571,"BLCA","tumor"
